"","x"
"1",0.0815333396632314
"2",0.0813079417232888
"3",0.084933081593702
"4",0.0830694354204143
"5",0.0818434958689756
"6",0.0823287116890197
"7",0.0839294301133706
"8",0.086267357559875
"9",0.0825233591610596
"10",0.0835020030650062
"11",0.082142953465812
"12",0.0836058153637478
"13",0.0840041709156299
"14",0.0839912876010507
"15",0.0829943504307076
"16",0.0846585170679825
"17",0.0816422878578583
"18",0.083741799359468
"19",0.0835613239560805
"20",0.0823849162628897
"21",0.0819057642547818
"22",0.0827794892716635
"23",0.0799096082130723
"24",0.0823297077829699
"25",0.083085969851059
"26",0.083484423947723
"27",0.0823952050078942
"28",0.084607251645035
"29",0.0801741448391263
"30",0.082520745155547
"31",0.0850253386409262
"32",0.0826787461342135
"33",0.0824049177475814
"34",0.0827982024527929
"35",0.0839384761853893
"36",0.0837990568167557
"37",0.0821621023394038
"38",0.0845368557193334
"39",0.0819471512596606
"40",0.079111307273956
"41",0.0806660374944706
"42",0.0817705363626056
"43",0.0820655724861868
"44",0.083267926789963
"45",0.0840470384014395
"46",0.0816738953824591
"47",0.083629234446284
"48",0.0827754791444858
"49",0.0812910989519862
"50",0.0843356705968434
"51",0.0824733955930021
"52",0.0817973972234593
"53",0.0833619581346316
"54",0.0828334383098333
"55",0.081480724648565
"56",0.0822704169978222
"57",0.0838767630731306
"58",0.0814689744406679
"59",0.0818944581940256
"60",0.0845321710468305
"61",0.0807353638847692
"62",0.0842159466519264
"63",0.0831804537584469
"64",0.0852044071098036
"65",0.0814132063535069
"66",0.0841916446732885
"67",0.0834452732192233
"68",0.0851112715850499
"69",0.0851487795659791
"70",0.0830064556952998
"71",0.0848163837596443
"72",0.0835661897738638
"73",0.0836760897366165
"74",0.0815928323871215
"75",0.084297793035593
"76",0.082028453038343
"77",0.0807300256398721
"78",0.082571276957457
"79",0.081720428346699
"80",0.0810843665952707
"81",0.0838073811841486
"82",0.0824389936604295
"83",0.0837227598161585
"84",0.0822330507985529
"85",0.0846612774925329
"86",0.0826391094486026
"87",0.0818954859239818
"88",0.0819648833199854
"89",0.0864049904431997
"90",0.0808398387151729
"91",0.0820640675299829
"92",0.0853017039268455
"93",0.0830673345502985
"94",0.0820947234564499
"95",0.0831335510472836
"96",0.0839018225768472
